"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","27/10/2018","350","700","550"
"Andhra Pradesh","Chittor","Piler","Tomato","Deshi","27/10/2018","500","600","550"
"Andhra Pradesh","Cuddapah","Cuddapah","Groundnut","Local","27/10/2018","3497","3497","3497"
"Andhra Pradesh","Kurnool","Adoni","Groundnut","Balli/Habbu","27/10/2018","2186","5519","4616"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","27/10/2018","2050","2250","2150"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)","Sona Mahsuri","27/10/2018","1750","1750","1750"
"Andhra Pradesh","Kurnool","Koilkunta","Jowar(Sorghum)","Jowar ( White)","27/10/2018","1700","2430","1750"
"Andhra Pradesh","Kurnool","Kurnool","Castor Seed","Other","27/10/2018","3981","4689","4600"
"Andhra Pradesh","Kurnool","Kurnool","Groundnut","Local","27/10/2018","2470","5809","4369"
"Andhra Pradesh","Kurnool","Kurnool","Maize","Local","27/10/2018","1329","1700","1359"
"Andhra Pradesh","Kurnool","Kurnool","Onion","Local","27/10/2018","400","1210","860"
"Andhra Pradesh","Kurnool","Kurnool","Sunflower","Bold","27/10/2018","3708","5388","3728"
"Andhra Pradesh","Kurnool","Nandikotkur","Bengal Gram(Gram)(Whole)","Gulabi","27/10/2018","4400","4400","4400"
"Andhra Pradesh","Kurnool","Nandikotkur","Maize","Hybrid","27/10/2018","1700","1700","1700"
"Andhra Pradesh","Kurnool","Nandikotkur","Paddy(Dhan)","Sona","27/10/2018","1750","1750","1750"
"Andhra Pradesh","Kurnool","Nandyal","Bengal Gram(Gram)(Whole)","Desi (Whole)","27/10/2018","4400","4500","4450"
"Andhra Pradesh","Kurnool","Nandyal","Paddy(Dhan)","Sona Mahsuri","27/10/2018","1800","1950","1850"
"Andhra Pradesh","Kurnool","Pattikonda","Onion","Local","27/10/2018","1200","1400","1300"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","27/10/2018","280","900","580"
"Andhra Pradesh","Prakasam","Martur","Bhindi(Ladies Finger)","Bhindi","27/10/2018","600","800","700"
"Andhra Pradesh","Prakasam","Martur","Brinjal","Arkasheela Mattigulla","27/10/2018","1800","1900","1850"
"Andhra Pradesh","Prakasam","Martur","Green Chilli","Green Chilly","27/10/2018","1200","1400","1300"
"Assam","Dibrugarh","Dibrugarh","Potato","Local","27/10/2018","1700","1800","1750"
"Assam","Dibrugarh","Dibrugarh","Rice","Common","27/10/2018","2450","3400","2920"
"Chattisgarh","Bastar","Bhopalpattnam","Mahua","Other","27/10/2018","1600","1700","1650"
"Chattisgarh","Bastar","Bijapur","Mahua","Other","27/10/2018","1600","1700","1650"
"Chattisgarh","Bastar","Charama","Black Gram (Urd Beans)(Whole)","Other","27/10/2018","3000","3000","3000"
"Chattisgarh","Bastar","Charama","Paddy(Dhan)","Other","27/10/2018","1540","1540","1540"
"Chattisgarh","Bastar","Gidam","Mahua Seed(Hippe seed)","Mahua Seed","27/10/2018","1400","1500","1450"
